Iteração,x1,x2,x3,x4,x5,x6,Erro
1,25.000000,6.250000,1.562500,31.250000,9.375000,2.734375,31.250000
2,34.375000,11.328125,3.515625,35.937500,12.500000,4.003906,9.375000
3,36.816406,13.208008,4.302979,37.329102,13.635254,4.484558,2.441406
4,37.634277,13.893127,4.594421,37.817383,14.048767,4.660797,0.817871
5,37.927628,14.142704,4.700875,37.994099,14.199400,4.725069,0.293350
6,38.034201,14.233619,4.739672,38.058400,14.254272,4.748486,0.106573
7,38.073005,14.266737,4.753806,38.081819,14.274261,4.757017,0.038804
8,38.087139,14.278801,4.758954,38.090350,14.281542,4.760124,0.014134
9,38.092288,14.283196,4.760830,38.093457,14.284194,4.761256,0.005149
10,38.094163,14.284797,4.761513,38.094589,14.285161,4.761668,0.001876
11,38.094847,14.285380,4.761762,38.095002,14.285513,4.761819,0.000683
12,38.095095,14.285593,4.761853,38.095152,14.285641,4.761873,0.000249
13,38.095186,14.285670,4.761886,38.095207,14.285688,4.761893,0.000091
14,38.095219,14.285698,4.761898,38.095227,14.285705,4.761901,0.000033
15,38.095231,14.285708,4.761902,38.095234,14.285711,4.761903,0.000012
16,38.095236,14.285712,4.761904,38.095237,14.285713,4.761904,0.000004
17,38.095237,14.285714,4.761904,38.095238,14.285714,4.761905,0.000002
18,38.095238,14.285714,4.761905,38.095238,14.285714,4.761905,0.000001
