 Iteração       x1       x2       x3     Erro
        1 1.300000 0.650000 0.772500 1.300000
        2 1.779500 1.082875 0.976619 0.479500
        3 2.036761 1.262535 1.072986 0.257261
        4 2.145865 1.341179 1.114468 0.109104
        5 2.193483 1.375358 1.132536 0.047618
        6 2.214186 1.390227 1.140394 0.020703
        7 2.223192 1.396695 1.143812 0.009006
        8 2.227110 1.399508 1.145299 0.003917
        9 2.228814 1.400732 1.145946 0.001704
       10 2.229555 1.401264 1.146227 0.000741
       11 2.229877 1.401495 1.146349 0.000322
       12 2.230018 1.401596 1.146403 0.000140
       13 2.230079 1.401640 1.146426 0.000061
       14 2.230105 1.401659 1.146436 0.000027
       15 2.230117 1.401667 1.146440 0.000012
       16 2.230122 1.401671 1.146442 0.000005
       17 2.230124 1.401672 1.146443 0.000002
       18 2.230125 1.401673 1.146443 0.000001
