Iteração,x1,x2,x3,x4,x5,x6,x7,x8,x9,Erro
1,12.500000,15.625000,41.406250,15.625000,7.812500,37.304688,16.406250,18.554688,26.464844,41.406250
2,20.312500,29.882812,54.296875,23.632812,27.343750,52.026367,23.046875,31.713867,33.435059,19.531250
3,25.878906,39.379883,60.351562,31.567383,38.671875,58.114624,28.320312,37.606812,36.430359,11.328125
4,30.236816,44.815063,63.232422,36.807251,44.335938,60.999680,31.103516,40.467453,37.866783,5.664062
5,32.905579,47.618484,64.654541,39.586258,47.167969,62.422323,32.513428,41.887045,38.577342,2.832031
6,34.301186,49.030924,65.363312,40.995646,48.583984,63.131160,33.220673,42.595500,38.931665,1.416016
7,35.006642,49.738485,65.717411,41.702825,49.291992,63.485267,33.574581,42.949560,39.108707,0.708008
8,35.360327,50.092433,65.894425,42.056725,49.645996,63.662282,33.751571,43.126568,39.197213,0.354004
9,35.537289,50.269428,65.982927,42.233714,49.822998,63.750785,33.840071,43.215070,39.241464,0.177002
10,35.625785,50.357928,66.027178,42.322214,49.911499,63.795035,33.884321,43.259321,39.263589,0.088501
11,35.670035,50.402178,66.049303,42.366464,49.955750,63.817160,33.906446,43.281446,39.274652,0.044250
12,35.692160,50.424303,66.060366,42.388589,49.977875,63.828223,33.917509,43.292509,39.280183,0.022125
13,35.703223,50.435366,66.065897,42.399652,49.988937,63.833754,33.923040,43.298040,39.282949,0.011063
14,35.708754,50.440897,66.068663,42.405183,49.994469,63.836520,33.925806,43.300806,39.284331,0.005531
15,35.711520,50.443663,66.070046,42.407949,49.997234,63.837903,33.927189,43.302189,39.285023,0.002766
16,35.712903,50.445046,66.070737,42.409331,49.998617,63.838594,33.927880,43.302880,39.285369,0.001383
17,35.713594,50.445737,66.071083,42.410023,49.999309,63.838940,33.928226,43.303226,39.285541,0.000691
18,35.713940,50.446083,66.071256,42.410369,49.999654,63.839113,33.928399,43.303399,39.285628,0.000346
19,35.714113,50.446256,66.071342,42.410541,49.999827,63.839199,33.928485,43.303485,39.285671,0.000173
20,35.714199,50.446342,66.071385,42.410628,49.999914,63.839243,33.928528,43.303528,39.285693,0.000086
21,35.714243,50.446385,66.071407,42.410671,49.999957,63.839264,33.928550,43.303550,39.285703,0.000043
22,35.714264,50.446407,66.071418,42.410693,49.999978,63.839275,33.928561,43.303561,39.285709,0.000022
23,35.714275,50.446418,66.071423,42.410703,49.999989,63.839280,33.928566,43.303566,39.285712,0.000011
24,35.714280,50.446423,66.071426,42.410709,49.999995,63.839283,33.928569,43.303569,39.285713,0.000005
25,35.714283,50.446426,66.071427,42.410712,49.999997,63.839284,33.928570,43.303570,39.285714,0.000003
26,35.714284,50.446427,66.071428,42.410713,49.999999,63.839285,33.928571,43.303571,39.285714,0.000001
27,35.714285,50.446428,66.071428,42.410714,49.999999,63.839285,33.928571,43.303571,39.285714,0.000001
