Iteração,x1,x2,x3,x4,x5,x6,Erro
1,25.000000,0.000000,0.000000,25.000000,0.000000,0.000000,25.000000
2,31.250000,6.250000,0.000000,31.250000,6.250000,0.000000,6.250000
3,34.375000,9.375000,1.562500,34.375000,9.375000,1.562500,3.125000
4,35.937500,11.328125,2.734375,35.937500,11.328125,2.734375,1.953125
5,36.816406,12.500000,3.515625,36.816406,12.500000,3.515625,1.171875
6,37.329102,13.208008,4.003906,37.329102,13.208008,4.003906,0.708008
7,37.634277,13.635254,4.302979,37.634277,13.635254,4.302979,0.427246
8,37.817383,13.893127,4.484558,37.817383,13.893127,4.484558,0.257874
9,37.927628,14.048767,4.594421,37.927628,14.048767,4.594421,0.155640
10,37.994099,14.142704,4.660797,37.994099,14.142704,4.660797,0.093937
11,38.034201,14.199400,4.700875,38.034201,14.199400,4.700875,0.056696
12,38.058400,14.233619,4.725069,38.058400,14.233619,4.725069,0.034219
13,38.073005,14.254272,4.739672,38.073005,14.254272,4.739672,0.020653
14,38.081819,14.266737,4.748486,38.081819,14.266737,4.748486,0.012465
15,38.087139,14.274261,4.753806,38.087139,14.274261,4.753806,0.007523
16,38.090350,14.278801,4.757017,38.090350,14.278801,4.757017,0.004541
17,38.092288,14.281542,4.758954,38.092288,14.281542,4.758954,0.002741
18,38.093457,14.283196,4.760124,38.093457,14.283196,4.760124,0.001654
19,38.094163,14.284194,4.760830,38.094163,14.284194,4.760830,0.000998
20,38.094589,14.284797,4.761256,38.094589,14.284797,4.761256,0.000603
21,38.094847,14.285161,4.761513,38.094847,14.285161,4.761513,0.000364
22,38.095002,14.285380,4.761668,38.095002,14.285380,4.761668,0.000219
23,38.095095,14.285513,4.761762,38.095095,14.285513,4.761762,0.000132
24,38.095152,14.285593,4.761819,38.095152,14.285593,4.761819,0.000080
25,38.095186,14.285641,4.761853,38.095186,14.285641,4.761853,0.000048
26,38.095207,14.285670,4.761873,38.095207,14.285670,4.761873,0.000029
27,38.095219,14.285688,4.761886,38.095219,14.285688,4.761886,0.000018
28,38.095227,14.285698,4.761893,38.095227,14.285698,4.761893,0.000011
29,38.095231,14.285705,4.761898,38.095231,14.285705,4.761898,0.000006
30,38.095234,14.285708,4.761901,38.095234,14.285708,4.761901,0.000004
31,38.095236,14.285711,4.761902,38.095236,14.285711,4.761902,0.000002
32,38.095237,14.285712,4.761903,38.095237,14.285712,4.761903,0.000001
33,38.095237,14.285713,4.761904,38.095237,14.285713,4.761904,0.000001
