 Iteração       x1       x2       x3     Erro
        1 1.300000 0.000000 0.350000 1.300000
        2 1.370000 0.737500 0.610000 0.737500
        3 1.790750 0.837500 0.808375 0.420750
        4 1.880425 1.097469 0.917525 0.259969
        5 2.032239 1.169594 1.000452 0.151814
        6 2.084887 1.266233 1.048846 0.096639
        7 2.142886 1.304655 1.083536 0.057998
        8 2.169035 1.342327 1.104741 0.037671
        9 2.192112 1.360703 1.119389 0.023077
       10 2.204229 1.375903 1.128598 0.015200
       11 2.213671 1.384264 1.134822 0.009442
       12 2.219096 1.390541 1.138800 0.006277
       13 2.223030 1.394248 1.141454 0.003934
       14 2.225415 1.396879 1.143168 0.002631
       15 2.227073 1.398500 1.144303 0.001658
       16 2.228110 1.399612 1.145039 0.001113
       17 2.228814 1.400315 1.145525 0.000704
       18 2.229263 1.400788 1.145842 0.000473
       19 2.229562 1.401092 1.146050 0.000303
       20 2.229756 1.401294 1.146185 0.000202
       21 2.229884 1.401424 1.146275 0.000131
       22 2.229967 1.401511 1.146333 0.000086
       23 2.230022 1.401567 1.146371 0.000056
       24 2.230058 1.401604 1.146396 0.000037
       25 2.230081 1.401628 1.146412 0.000024
       26 2.230096 1.401644 1.146423 0.000016
       27 2.230106 1.401654 1.146430 0.000010
       28 2.230113 1.401661 1.146435 0.000007
       29 2.230117 1.401665 1.146438 0.000004
       30 2.230120 1.401668 1.146440 0.000003
       31 2.230122 1.401670 1.146441 0.000002
       32 2.230123 1.401671 1.146442 0.000001
       33 2.230124 1.401672 1.146442 0.000001
